Time	Open	High	Low	Close	Volume
2022-09-09 00:00:00	1.15198	1.16477	1.15151	1.15876	191780	9
2022-09-11 00:00:00	1.16379	1.16389	1.16018	1.16195	11971	87
2022-09-12 00:00:00	1.16194	1.17102	1.16001	1.16884	168039	13
2022-09-13 00:00:00	1.16886	1.17379	1.14814	1.15018	192206	13
2022-09-14 00:00:00	1.15018	1.15893	1.14797	1.15439	196660	13
2022-09-15 00:00:00	1.15439	1.15473	1.14505	1.14513	145700	14
2022-09-16 00:00:00	1.14513	1.14799	1.135	1.14187	145149	12
2022-09-18 00:00:00	1.14137	1.14406	1.14108	1.14336	7175	105
2022-09-19 00:00:00	1.14336	1.14451	1.13549	1.14442	90126	13
2022-09-20 00:00:00	1.14443	1.14605	1.1357	1.13801	151416	12
2022-09-21 00:00:00	1.13802	1.13842	1.1235	1.12565	194063	11
2022-09-22 00:00:00	1.12566	1.13638	1.12113	1.12621	225720	13
2022-09-23 00:00:00	1.12619	1.12739	1.08387	1.08474	214768	14
2022-09-25 00:00:00	1.07935	1.08459	1.07795	1.07924	20023	86
2022-09-26 00:00:00	1.07923	1.09298	1.03261	1.07658	382983	18
2022-09-27 00:00:00	1.07655	1.08374	1.06583	1.07251	216783	20
2022-09-28 00:00:00	1.0725	1.09156	1.05389	1.08303	341104	21
2022-09-29 00:00:00	1.08303	1.12038	1.07615	1.11707	285591	14
2022-09-30 00:00:00	1.11706	1.12335	1.10246	1.11538	253478	19
2022-10-02 00:00:00	1.11504	1.11943	1.11271	1.11342	21811	260
2022-10-03 00:00:00	1.11345	1.13412	1.10851	1.13374	255350	20
2022-10-04 00:00:00	1.13373	1.14894	1.128	1.14497	252419	18
2022-10-05 00:00:00	1.14498	1.14951	1.12264	1.13554	315702	15
2022-10-06 00:00:00	1.13556	1.13833	1.11124	1.11605	349424	17
2022-10-07 00:00:00	1.11603	1.12249	1.1055	1.10934	278083	18
2022-10-09 00:00:00	1.10891	1.1093	1.10609	1.10719	39504	99
2022-10-10 00:00:00	1.10721	1.11106	1.10191	1.10783	299064	18
2022-10-11 00:00:00	1.10788	1.11794	1.0952	1.09632	286441	13
2022-10-12 00:00:00	1.09637	1.11336	1.09227	1.11001	235478	17
2022-10-13 00:00:00	1.11	1.138	1.10565	1.13009	260281	17
2022-10-14 00:00:00	1.13007	1.13661	1.11511	1.1178	404515	16
2022-10-16 00:00:00	1.12325	1.12476	1.1209	1.12408	38038	108
2022-10-17 00:00:00	1.12408	1.14343	1.12151	1.1351	325410	18
2022-10-18 00:00:00	1.13513	1.14106	1.12551	1.13417	389055	16
2022-10-19 00:00:00	1.13417	1.13504	1.11846	1.12062	335939	16
2022-10-20 00:00:00	1.1206	1.1336	1.11709	1.1221	394958	16
2022-10-21 00:00:00	1.12218	1.13144	1.10601	1.12956	469701	13
2022-10-23 00:00:00	1.13928	1.14081	1.1307	1.13351	41939	74
2022-10-24 00:00:00	1.13358	1.13818	1.12574	1.13051	438400	20
2022-10-25 00:00:00	1.13053	1.14988	1.12704	1.14578	247524	15
2022-10-26 00:00:00	1.1458	1.164	1.14299	1.16385	461534	18
2022-10-27 00:00:00	1.16383	1.16449	1.15483	1.15638	272175	14
2022-10-28 00:00:00	1.15638	1.16235	1.15035	1.16127	191618	14
2022-10-30 00:00:00	1.15783	1.16056	1.15764	1.15941	29257	100
2022-10-31 00:00:00	1.1594	1.1613	1.14578	1.14669	322027	18
2022-11-01 00:00:00	1.14667	1.15659	1.14365	1.14882	548449	12
2022-11-02 00:00:00	1.14889	1.15644	1.13744	1.1383	697349	15
2022-11-03 00:00:00	1.13831	1.14216	1.11487	1.11695	392221	14
2022-11-04 00:00:00	1.11697	1.13818	1.1145	1.13764	241285	15
2022-11-06 00:00:00	1.13054	1.13412	1.13027	1.13308	24017	76
2022-11-07 00:00:00	1.13307	1.15413	1.12899	1.15129	317266	12
2022-11-08 00:00:00	1.15129	1.15988	1.14297	1.15507	235022	14
2022-11-09 00:00:00	1.15508	1.15664	1.13334	1.13676	319150	16
2022-11-10 00:00:00	1.13673	1.17311	1.13626	1.16938	309297	17
2022-11-11 00:00:00	1.16937	1.18543	1.16466	1.18295	248921	16
2022-11-13 00:00:00	1.18099	1.18118	1.17637	1.17958	29163	129
2022-11-14 00:00:00	1.17958	1.18283	1.17098	1.17507	392889	19
2022-11-15 00:00:00	1.17511	1.20285	1.17404	1.18785	299341	18
2022-11-16 00:00:00	1.18787	1.19417	1.18309	1.19135	234785	12
2022-11-17 00:00:00	1.19136	1.19576	1.17622	1.18584	279627	15
2022-11-18 00:00:00	1.18582	1.19503	1.1858	1.18883	214236	16
2022-11-20 00:00:00	1.18948	1.18976	1.18761	1.18841	14873	145
2022-11-21 00:00:00	1.18837	1.18856	1.17779	1.18258	228341	28
2022-11-22 00:00:00	1.18257	1.19022	1.1822	1.1893	238163	14
2022-11-23 00:00:00	1.1893	1.20804	1.1872	1.20757	269435	18
2022-11-24 00:00:00	1.20756	1.2153	1.20577	1.21115	189138	26
2022-11-25 00:00:00	1.21116	1.21269	1.20577	1.20867	366391	18
2022-11-27 00:00:00	1.20626	1.20748	1.20502	1.20534	32477	125
2022-11-28 00:00:00	1.20527	1.21175	1.19398	1.19588	287307	23
2022-11-29 00:00:00	1.1959	1.20639	1.19414	1.19455	273705	17
2022-11-30 00:00:00	1.19457	1.20879	1.18999	1.20744	417441	15
2022-12-01 00:00:00	1.20743	1.23098	1.20693	1.22578	281617	17
2022-12-02 00:00:00	1.22578	1.22997	1.21338	1.22772	285424	18
2022-12-04 00:00:00	1.22667	1.22959	1.22649	1.2295	7549	196
2022-12-05 00:00:00	1.22948	1.23441	1.2161	1.21915	313197	19
2022-12-06 00:00:00	1.21916	1.22689	1.21264	1.21321	354927	16
2022-12-07 00:00:00	1.2132	1.22343	1.21058	1.22089	217627	18
2022-12-08 00:00:00	1.22089	1.22467	1.21542	1.22334	154324	18
2022-12-09 00:00:00	1.22334	1.23221	1.22017	1.22654	204698	20
2022-12-11 00:00:00	1.22531	1.22637	1.22325	1.22349	7796	93
2022-12-12 00:00:00	1.22349	1.22983	1.22054	1.22686	167024	20
2022-12-13 00:00:00	1.22686	1.24432	1.22477	1.2354	273731	13
2022-12-14 00:00:00	1.2354	1.24464	1.23414	1.24179	217554	14
2022-12-15 00:00:00	1.24179	1.24256	1.21558	1.21902	254698	13
2022-12-16 00:00:00	1.21902	1.22225	1.21193	1.21345	227397	12
2022-12-18 00:00:00	1.21458	1.2169	1.21445	1.2159	13414	139
2022-12-19 00:00:00	1.2159	1.22416	1.212	1.21536	178493	14
2022-12-20 00:00:00	1.21536	1.22234	1.20847	1.21875	287633	17
2022-12-21 00:00:00	1.21878	1.21896	1.20548	1.20759	231176	16
2022-12-22 00:00:00	1.20759	1.21473	1.19919	1.20366	367044	16
2022-12-23 00:00:00	1.20372	1.20899	1.2018	1.20335	333480	21
2022-12-25 00:00:00	1.20551	1.20648	1.20483	1.20604	282	227
2022-12-26 00:00:00	1.20601	1.20916	1.20475	1.20819	64034	155
2022-12-27 00:00:00	1.20818	1.2112	1.20021	1.20256	194550	19
2022-12-28 00:00:00	1.20261	1.21254	1.20018	1.20277	213766	18
2022-12-29 00:00:00	1.2028	1.20783	1.20141	1.20547	150851	12
2022-12-30 00:00:00	1.2055	1.21071	1.20093	1.20934	229647	18
2023-01-01 00:00:00	1.20615	1.20959	1.20494	1.20926	1738	168
2023-01-02 00:00:00	1.20921	1.21004	1.20325	1.20625	188967	169
2023-01-03 00:00:00	1.20624	1.20847	1.18999	1.19657	202109	15
2023-01-04 00:00:00	1.19658	1.20875	1.19651	1.20556	189425	18
2023-01-05 00:00:00	1.20556	1.20779	1.18729	1.19078	222536	16
2023-01-06 00:00:00	1.19075	1.20989	1.18408	1.20874	265017	30
2023-01-08 00:00:00	1.20793	1.212	1.20792	1.21195	8777	146
2023-01-09 00:00:00	1.21196	1.22096	1.2093	1.21832	169387	16
2023-01-10 00:00:00	1.21833	1.21978	1.21096	1.21527	155106	15
2023-01-11 00:00:00	1.21528	1.2178	1.20999	1.21578	162081	13
